iter	Accuracy	Logloss
0	0.5437645688	0.6916056668
1	0.5443473193	0.6901605541
2	0.5457750583	0.6889006771
3	0.5459498834	0.6877623987
4	0.5471736597	0.6867657026
5	0.5477564103	0.6858498262
6	0.5474941725	0.6849864914
7	0.5471153846	0.6842790011
8	0.5472027972	0.6836251611
9	0.5472610723	0.6828233842
10	0.5476689977	0.6822976731
11	0.5488636364	0.6817729237
12	0.5488927739	0.6811987604
13	0.5489801865	0.6807912135
14	0.5488053613	0.6803666788
15	0.5489219114	0.6799036486
16	0.5491841492	0.679454756
17	0.5483974359	0.6791719198
18	0.5479312354	0.6789133048
19	0.5481643357	0.6786739817
20	0.5482226107	0.678299587
21	0.5481351981	0.6779667639
22	0.5481934732	0.6777800525
23	0.548513986	0.6775540863
24	0.5484265734	0.6773291589
25	0.5486596737	0.6771005642
26	0.5485722611	0.6769290384
27	0.5490967366	0.676762418
28	0.5492715618	0.6766081781
29	0.5496794872	0.6764031142
30	0.5513403263	0.6762407852
31	0.550990676	0.6761150119
32	0.5519230769	0.6759586756
33	0.5518065268	0.6758464239
34	0.5518065268	0.675712331
35	0.5518356643	0.6756287042
36	0.5517191142	0.6755661393
37	0.5524475524	0.6754770557
38	0.5526515152	0.6753797933
39	0.5523310023	0.6752738789
40	0.5525641026	0.6752042226
41	0.5530011655	0.6751041987
42	0.553030303	0.674990279
43	0.5534382284	0.674915305
44	0.5537004662	0.6748573338
45	0.5536713287	0.6747905409
46	0.5536130536	0.6747242184
