iter	Passed	Remaining
0	155	46508
1	161	24066
2	167	16552
3	172	12767
4	178	10537
5	183	9000
6	188	7870
7	193	7050
8	198	6421
9	203	5908
10	209	5507
11	214	5155
12	220	4857
13	225	4611
14	230	4386
15	235	4171
16	240	4003
17	245	3849
18	251	3714
19	255	3577
20	260	3466
21	266	3363
22	270	3263
23	276	3179
24	281	3095
25	286	3018
26	291	2946
27	296	2875
28	301	2819
29	307	2770
30	314	2724
31	320	2684
32	327	2646
33	332	2603
34	338	2563
35	344	2524
36	349	2484
37	355	2454
38	361	2421
39	367	2388
40	373	2359
41	379	2330
42	384	2295
43	390	2272
44	396	2246
45	403	2229
46	409	2205
47	415	2182
48	422	2166
49	428	2143
50	435	2126
51	441	2105
52	448	2088
53	454	2072
54	462	2058
55	472	2057
56	489	2088
57	502	2098
58	514	2100
59	525	2103
60	537	2107
61	550	2111
62	560	2106
63	570	2102
64	583	2110
65	590	2092
66	597	2078
67	605	2064
68	612	2049
69	619	2034
70	627	2023
71	636	2016
72	644	2003
73	653	1995
74	661	1985
